Times,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
America-MG,14,20,18,18,20,17,19,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,20,20,20,20,20
Atletico-MG,5,4,14,11,12,14,17,18,14,12,8,7,9,10,8,6,6,5,3,4,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4
Atletico-PR,20,19,20,16,19,13,9,12,9,9,7,10,6,5,5,5,7,7,9,8,9,9,9,8,10,7,6,6,6,8,6,7,6,6,5,5,5,6
Botafogo,15,17,8,13,16,20,20,16,18,19,17,18,15,14,15,17,14,15,11,13,13,11,10,9,11,9,10,8,7,5,5,5,5,5,6,6,6,5
Chapecoense,13,2,5,9,6,7,10,11,7,8,11,9,11,13,13,10,11,10,10,10,10,10,11,11,9,10,11,11,11,11,11,12,11,10,9,9,9,11
Corinthians,8,15,6,4,3,1,4,5,4,6,4,2,2,2,2,2,1,3,4,5,3,4,4,4,5,5,7,7,9,9,7,6,7,7,7,7,7,7
Coritiba,4,10,8,14,17,19,16,17,16,17,19,16,17,16,19,15,17,19,16,16,14,16,13,15,14,13,14,12,13,13,15,14,15,15,14,14,14,15
Cruzeiro,18,16,19,19,14,18,15,15,20,16,12,14,14,15,18,19,19,18,14,18,16,14,12,14,15,15,17,16,12,12,13,13,13,13,12,12,13,12
Figueirense,9,14,16,17,11,15,12,13,12,11,14,15,16,17,16,18,15,16,18,17,18,18,17,17,17,17,16,17,18,18,18,18,18,18,18,18,18,18
Flamengo,5,11,11,5,4,5,6,7,6,4,6,5,7,6,6,7,5,6,2,6,4,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3
Fluminense,3,3,12,7,8,8,11,9,11,13,9,12,12,11,10,12,9,9,8,7,7,8,8,7,7,6,5,5,5,6,9,9,9,9,11,11,12,13
Gremio,11,7,2,1,2,2,3,3,3,3,5,3,3,3,3,3,4,4,6,3,6,6,6,6,8,11,8,9,8,7,8,8,8,8,8,8,8,9
Internacional,10,6,3,2,1,3,1,1,2,2,2,4,5,9,11,11,13,14,17,15,15,17,15,16,18,18,18,18,17,17,16,15,16,17,17,17,17,17
Palmeiras,1,8,4,8,5,4,2,2,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ponte Preta,12,5,15,15,10,12,8,8,10,10,13,11,8,7,7,8,8,8,7,9,8,7,7,10,6,8,9,10,10,10,10,10,10,11,10,10,10,8
Santa Cruz,2,1,1,3,7,9,14,10,13,15,18,19,19,18,14,16,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,19,19,19,19,19
Santos,16,9,7,12,15,11,5,4,8,5,3,6,4,4,4,4,2,1,5,2,5,5,5,5,4,4,4,4,4,4,4,4,3,2,2,3,3,2
Sao Paulo,7,12,10,6,9,6,7,6,5,7,10,8,10,8,9,9,10,11,12,12,11,12,14,12,12,12,12,14,14,14,12,11,12,12,13,13,11,10
Sport,17,18,17,20,18,16,18,19,17,18,16,17,18,19,17,14,12,12,13,11,12,13,16,13,13,14,13,15,16,16,14,16,14,14,15,15,16,14
Vitoria,19,13,13,10,13,10,13,14,15,14,15,13,13,12,12,13,16,13,15,14,17,15,18,18,16,16,15,13,15,15,17,17,17,16,16,16,15,16
